# SAXS profile: number of points = 1001, q_min = 0, q_max = 2.5, delta_q = 0.0025
#    q    intensity 
0.78500    11679.90918752  
0.78750    11663.04764295  
0.79000    11647.79372633  
0.79250    11633.40724670  
0.79500    11620.88444686  
0.79750    11609.10771642  
0.80000    11598.44840425  
0.80250    11587.71367426  
0.80500    11576.63913064  
0.80750    11565.97641730  
0.81000    11554.22560858  
0.81250    11541.58248368  
0.81500    11527.89098272  
0.81750    11513.22588810  
0.82000    11496.73850059  
0.82250    11478.85181053  
0.82500    11458.74320887  
0.82750    11437.22716861  
0.83000    11413.50210813  
0.83250    11386.88674888  
0.83500    11358.21837583  
0.83750    11327.18429252  
0.84000    11293.37272141  
0.84250    11257.04602728  
0.84500    11218.22251599  
0.84750    11176.78820284  
0.85000    11132.64903623  
0.85250    11086.62913117  
0.85500    11037.71873132  
0.85750    10986.04019283  
0.86000    10932.29589643  
0.86250    10876.47864595  
0.86500    10818.01952596  
0.86750    10757.64271630  
0.87000    10695.55386139  
0.87250    10631.66153177  
0.87500    10565.97990605  
0.87750    10499.36195705  
0.88000    10430.24295833  
0.88250    10360.40589462  
0.88500    10289.40511413  
0.88750    10217.37120139  
0.89000    10144.88932025  
0.89250    10071.18604697  
0.89500    9997.58266591   
0.89750    9923.48641621   
0.90000    9848.68736543   
0.90250    9773.81146213   
0.90500    9699.70972422   
0.90750    9624.90041672   
0.91000    9550.71658516   
0.91250    9476.41744238   
0.91500    9402.81653345   
0.91750    9329.47673688   
0.92000    9256.82787005   
0.92250    9184.79547726   
0.92500    9113.24050612   
0.92750    9042.29384804   
0.93000    8972.78026426   
0.93250    8902.98534201   
0.93500    8834.49954771   
0.93750    8766.58185225   
0.94000    8699.68609069   
0.94250    8633.39372119   
0.94500    8567.55318621   
0.94750    8502.48919908   
0.95000    8438.27415872   
0.95250    8374.84358539   
0.95500    8312.34483581   
0.95750    8249.75268163   
0.96000    8187.91370037   
0.96250    8126.52911897   
0.96500    8065.65238089   
0.96750    8005.10110310   
0.97000    7945.08046022   
0.97250    7885.33549890   
0.97500    7825.69746624   
0.97750    7766.43838243   
0.98000    7707.84182534   
0.98250    7648.52467066   
0.98500    7589.94771266   
0.98750    7531.26227288   
0.99000    7472.50087262   
0.99250    7414.13774768   
0.99500    7355.72619061   
0.99750    7297.43743091   
1.00000    7239.12450015   
1.00250    7180.59946214   
1.00500    7122.89941559   
1.00750    7064.75572271   
1.01000    7006.83751468   
1.01250    6949.09654996   
1.01500    6891.24774207   
1.01750    6834.03084556   
1.02000    6776.55974506   
1.02250    6719.76773414   
1.02500    6663.20598074   
1.02750    6606.99443918   
1.03000    6551.32018065   
1.03250    6496.45487651   
1.03500    6441.66456590   
1.03750    6387.84329050   
1.04000    6334.29790538   
1.04250    6281.97195753   
1.04500    6230.24177142   
1.04750    6179.42020806   
1.05000    6129.88775564   
1.05250    6081.05941309   
1.05500    6033.04845586   
1.05750    5986.46079023   
1.06000    5941.21105186   
1.06250    5897.05247824   
1.06500    5853.96597490   
1.06750    5812.34082343   
1.07000    5772.00832367   
1.07250    5733.36105788   
1.07500    5695.72811669   
1.07750    5659.74754924   
1.08000    5625.30983767   
1.08250    5592.58916303   
1.08500    5561.23425041   
1.08750    5531.25556397   
1.09000    5502.73841056   
1.09250    5475.80565428   
1.09500    5450.66521623   
1.09750    5426.67447972   
1.10000    5404.36040846   
1.10250    5383.47961677   
1.10500    5363.82822271   
1.10750    5346.14092357   
1.11000    5329.33403475   
1.11250    5314.11199625   
1.11500    5299.99806174   
1.11750    5287.26980031   
1.12000    5275.74607276   
1.12250    5265.11664480   
1.12500    5255.90270003   
1.12750    5247.62102802   
1.13000    5240.39121659   
1.13250    5234.16532066   
1.13500    5228.84791949   
1.13750    5224.20283921   
1.14000    5220.33926865   
1.14250    5217.18294321   
1.14500    5214.80875141   
1.14750    5212.59574116   
1.15000    5211.43430207   
1.15250    5210.30307526   
1.15500    5209.93909973   
1.15750    5209.94134373   
1.16000    5209.99844856   
1.16250    5210.48896828   
1.16500    5210.94254844   
1.16750    5211.60480055   
1.17000    5212.35048392   
1.17250    5213.45602596   
1.17500    5214.28054596   
1.17750    5215.02340870   
1.18000    5215.90371316   
1.18250    5216.50478522   
1.18500    5217.37463715   
1.18750    5217.81575491   
1.19000    5218.16475190   
1.19250    5218.09561168   
1.19500    5217.97582691   
1.19750    5217.63179053   
1.20000    5217.29728095   
1.20250    5216.18839407   
1.20500    5215.16767491   
1.20750    5214.04645463   
1.21000    5212.44936500   
1.21250    5210.48836489   
1.21500    5208.55538233   
1.21750    5206.21798843   
1.22000    5203.68912560   
1.22250    5200.85842447   
1.22500    5197.92705163   
1.22750    5194.86298419   
1.23000    5191.48377410   
1.23250    5188.23048233   
1.23500    5184.87412057   
1.23750    5181.19172638   
1.24000    5177.42374179   
1.24250    5173.84866227   
1.24500    5170.08567667   
1.24750    5166.41248693   
1.25000    5162.74720054   
1.25250    5159.24813819   
1.25500    5155.74726432   
1.25750    5152.47722656   
1.26000    5149.58629849   
1.26250    5146.72320547   
1.26500    5144.11032440   
1.26750    5141.81923672   
1.27000    5139.81276783   
1.27250    5138.14001336   
1.27500    5136.91249330   
1.27750    5135.73349995   
1.28000    5135.14649195   
1.28250    5135.17951464   
1.28500    5135.57000116   
1.28750    5136.32150596   
1.29000    5137.64819539   
1.29250    5139.36019544   
1.29500    5141.77880154   
1.29750    5144.47912451   
1.30000    5147.67767688   
1.30250    5151.53564136   
1.30500    5155.71128441   
1.30750    5160.55171478   
1.31000    5165.99441896   
1.31250    5171.69046153   
1.31500    5177.97879941   
1.31750    5184.62319221   
1.32000    5191.67000971   
1.32250    5199.11290595   
1.32500    5206.87583098   
1.32750    5215.20919260   
1.33000    5223.54332132   
1.33250    5232.15538424   
1.33500    5241.15388899   
1.33750    5250.58445664   
1.34000    5259.90422811   
1.34250    5269.17543865   
1.34500    5278.71260109   
1.34750    5288.05994404   
1.35000    5297.52544825   
1.35250    5306.79927699   
1.35500    5315.90248778   
1.35750    5324.76385196   
1.36000    5333.47756140   
1.36250    5342.24055788   
1.36500    5350.16662601   
1.36750    5357.68737805   
1.37000    5364.95784036   
1.37250    5371.50230085   
1.37500    5377.49760142   
1.37750    5383.05026926   
1.38000    5387.85434071   
1.38250    5391.96485113   
1.38500    5395.38279390   
1.38750    5398.34619295   
1.39000    5400.11376947   
1.39250    5400.96076630   
1.39500    5401.11923215   
1.39750    5400.43602840   
1.40000    5398.73469802   
1.40250    5396.02719844   
1.40500    5392.43273032   
1.40750    5388.00754126   
1.41000    5382.28292239   
1.41250    5375.98976970   
1.41500    5368.72135698   
1.41750    5360.19338030   
1.42000    5350.64004238   
1.42250    5340.23269816   
1.42500    5328.95977869   
1.42750    5316.68089827   
1.43000    5303.37414341   
1.43250    5289.21015087   
1.43500    5274.24774791   
1.43750    5258.49251438   
1.44000    5241.83706147   
1.44250    5224.38129047   
1.44500    5206.19223048   
1.44750    5187.22854907   
1.45000    5167.74649414   
1.45250    5147.52098575   
1.45500    5126.60404061   
1.45750    5105.22939972   
1.46000    5083.27616345   
1.46250    5061.07413030   
1.46500    5038.16366123   
1.46750    5015.06569718   
1.47000    4991.48803976   
1.47250    4967.67079543   
1.47500    4943.71511978   
1.47750    4919.50125472   
1.48000    4894.96881931   
1.48250    4870.46275032   
1.48500    4845.98738780   
1.48750    4821.49450351   
1.49000    4797.01191547   
1.49250    4772.52102235   
1.49500    4748.18127841   
1.49750    4723.99830749   
1.50000    4699.77210217   
1.50250    4675.79300580   
1.50500    4652.26666168   
1.50750    4628.83455321   
1.51000    4605.83642673   
1.51250    4583.05284816   
1.51500    4560.70716811   
1.51750    4538.57568608   
1.52000    4516.88410069   
1.52250    4495.56887733   
1.52500    4474.84148008   
1.52750    4454.35930961   
1.53000    4434.31875374   
1.53250    4414.88310448   
1.53500    4395.83562049   
1.53750    4377.29926752   
1.54000    4359.24874747   
1.54250    4341.84229194   
1.54500    4324.75844386   
1.54750    4308.14719548   
1.55000    4292.13774018   
1.55250    4276.46357188   
1.55500    4261.56383758   
1.55750    4247.08210065   
1.56000    4233.04801938   
1.56250    4219.57530828   
1.56500    4206.79100780   
1.56750    4194.23920323   
1.57000    4182.22073738   
1.57250    4170.86969344   
1.57500    4159.79997212   
1.57750    4149.38384296   
1.58000    4139.29671241   
1.58250    4129.78112483   
1.58500    4120.71085431   
1.58750    4112.23569182   
1.59000    4104.06531185   
1.59250    4096.38683086   
1.59500    4089.30977800   
1.59750    4082.60064087   
1.60000    4076.33424556   
1.60250    4070.39674247   
1.60500    4065.03777061   
1.60750    4059.97856396   
1.61000    4055.56164169   
1.61250    4051.33945325   
1.61500    4047.78475310   
1.61750    4044.44705237   
1.62000    4041.62744976   
1.62250    4039.07442391   
1.62500    4037.01535297   
1.62750    4035.24772624   
1.63000    4034.01756224   
1.63250    4033.12016472   
1.63500    4032.55131104   
1.63750    4032.39019929   
1.64000    4032.61793368   
1.64250    4033.25211470   
1.64500    4034.13817097   
1.64750    4035.34426313   
1.65000    4036.94225759   
1.65250    4038.91016770   
1.65500    4041.16506790   
1.65750    4043.63908663   
1.66000    4046.55640251   
1.66250    4049.62090334   
1.66500    4053.04792263   
1.66750    4056.86896314   
1.67000    4060.81095646   
1.67250    4065.04892572   
1.67500    4069.42697459   
1.67750    4074.15193450   
1.68000    4079.01865459   
1.68250    4084.04252329   
1.68500    4089.46801810   
1.68750    4094.74002099   
1.69000    4100.44578892   
1.69250    4106.11273952   
1.69500    4112.04905620   
1.69750    4118.01808393   
1.70000    4124.01914972   
1.70250    4130.19874672   
1.70500    4136.41074677   
1.70750    4142.58895324   
1.71000    4148.93225238   
1.71250    4155.14764649   
1.71500    4161.47456361   
1.71750    4167.78214452   
1.72000    4173.99998368   
1.72250    4180.21088820   
1.72500    4186.36879756   
1.72750    4192.26195734   
1.73000    4198.29154727   
1.73250    4204.09762925   
1.73500    4209.84946337   
1.73750    4215.36494719   
1.74000    4220.72368050   
1.74250    4226.10906184   
1.74500    4231.12418175   
1.74750    4235.97551793   
1.75000    4240.75048312   
1.75250    4245.14211840   
1.75500    4249.42395296   
1.75750    4253.48396354   
1.76000    4257.18984366   
1.76250    4260.71449665   
1.76500    4263.95962877   
1.76750    4266.95571578   
1.77000    4269.69787680   
1.77250    4272.14610900   
1.77500    4274.31160282   
1.77750    4276.16055564   
1.78000    4277.74363266   
1.78250    4279.05645485   
1.78500    4279.96518942   
1.78750    4280.74974306   
1.79000    4281.04678025   
1.79250    4281.14395053   
1.79500    4280.98866362   
1.79750    4280.37609960   
1.80000    4279.56822898   
1.80250    4278.36621926   
1.80500    4276.87423945   
1.80750    4275.23980783   
1.81000    4273.08282040   
1.81250    4270.73726324   
1.81500    4268.08883279   
1.81750    4265.02205913   
1.82000    4261.87921218   
1.82250    4258.29642115   
1.82500    4254.47300134   
1.82750    4250.40975193   
1.83000    4246.02674419   
1.83250    4241.44403393   
1.83500    4236.56069759   
1.83750    4231.39369592   
1.84000    4226.06796052   
1.84250    4220.39672589   
1.84500    4214.56427593   
1.84750    4208.49811640   
1.85000    4202.20760301   
1.85250    4195.72191479   
1.85500    4189.02115216   
1.85750    4182.18316455   
1.86000    4175.22940620   
1.86250    4167.99247994   
1.86500    4160.75541277   
1.86750    4153.36220386   
1.87000    4145.79451884   
1.87250    4138.14522697   
1.87500    4130.37848348   
1.87750    4122.65242455   
1.88000    4114.79217516   
1.88250    4106.84740155   
1.88500    4098.97274568   
1.88750    4091.03501527   
1.89000    4083.12666731   
1.89250    4075.26491628   
1.89500    4067.36320454   
1.89750    4059.62233009   
1.90000    4051.95733929   
1.90250    4044.44518337   
1.90500    4036.91959565   
1.90750    4029.58248622   
1.91000    4022.43237433   
1.91250    4015.35749319   
1.91500    4008.59073922   
1.91750    4001.95549873   
1.92000    3995.52666330   
1.92250    3989.39081937   
1.92500    3983.41117833   
1.92750    3977.80976455   
1.93000    3972.31167437   
1.93250    3967.27584574   
1.93500    3962.35003717   
1.93750    3957.87659640   
1.94000    3953.59622878   
1.94250    3949.60818959   
1.94500    3945.94388338   
1.94750    3942.66117738   
1.95000    3939.58344863   
1.95250    3936.89580496   
1.95500    3934.54382282   
1.95750    3932.43538484   
1.96000    3930.62722749   
1.96250    3929.03932335   
1.96500    3927.80883755   
1.96750    3926.82176692   
1.97000    3926.10735182   
1.97250    3925.64472814   
1.97500    3925.31817738   
1.97750    3925.30477212   
1.98000    3925.30411862   
1.98250    3925.62907579   
1.98500    3926.00090737   
1.98750    3926.48145973   
1.99000    3927.07732522   
1.99250    3927.75675826   
1.99500    3928.48129020   
1.99750    3929.18149809   
2.00000    3929.89840784   
2.00250    3930.54458894   
2.00500    3931.15513426   
2.00750    3931.62273596   
2.01000    3932.03987957   
2.01250    3932.25042232   
2.01500    3932.30307936   
2.01750    3932.26241927   
2.02000    3931.87544576   
2.02250    3931.26543199   
2.02500    3930.47615454   
2.02750    3929.37515501   
2.03000    3927.95349787   
2.03250    3926.25132415   
2.03500    3924.20873316   
2.03750    3921.83430362   
2.04000    3919.10738523   
2.04250    3916.06946501   
2.04500    3912.67589025   
2.04750    3908.87284709   
2.05000    3904.73750953   
2.05250    3900.24168202   
2.05500    3895.39062559   
2.05750    3890.24296654   
2.06000    3884.70666267   
2.06250    3878.89522233   
2.06500    3872.71321063   
2.06750    3866.29458372   
2.07000    3859.53124908   
2.07250    3852.63049418   
2.07500    3845.41739305   
2.07750    3838.02874718   
2.08000    3830.39647569   
2.08250    3822.68586121   
2.08500    3814.76210422   
2.08750    3806.76522299   
2.09000    3798.60074053   
2.09250    3790.51803397   
2.09500    3782.35407568   
2.09750    3774.20172765   
2.10000    3765.99924908   
2.10250    3757.97200987   
2.10500    3749.95658701   
2.10750    3742.10464929   
2.11000    3734.29881302   
2.11250    3726.70765344   
2.11500    3719.28206216   
2.11750    3712.04445209   
2.12000    3705.02507819   
2.12250    3698.28946517   
2.12500    3691.69917332   
2.12750    3685.40850018   
2.13000    3679.39150272   
2.13250    3673.65777534   
2.13500    3668.20785491   
2.13750    3662.98339421   
2.14000    3658.02481571   
2.14250    3653.38677434   
2.14500    3649.02089619   
2.14750    3644.93460241   
2.15000    3641.02902128   
2.15250    3637.40703273   
2.15500    3634.01001848   
2.15750    3630.76564901   
2.16000    3627.80738156   
2.16250    3624.91581557   
2.16500    3622.21888018   
2.16750    3619.67305429   
2.17000    3617.22024112   
2.17250    3614.82455221   
2.17500    3612.44396119   
2.17750    3610.14713844   
2.18000    3607.79574478   
2.18250    3605.46627409   
2.18500    3603.07102915   
2.18750    3600.62960809   
2.19000    3598.06325845   
2.19250    3595.34626907   
2.19500    3592.54013497   
2.19750    3589.51699117   
2.20000    3586.31047308   
2.20250    3582.89345594   
2.20500    3579.28557116   
2.20750    3575.43803229   
2.21000    3571.34483994   
2.21250    3567.02583857   
2.21500    3562.41423523   
2.21750    3557.54267958   
2.22000    3552.38398655   
2.22250    3546.98500317   
2.22500    3541.27686242   
2.22750    3535.31723018   
2.23000    3529.11307966   
2.23250    3522.72532001   
2.23500    3516.00056487   
2.23750    3509.09654790   
2.24000    3502.03169515   
2.24250    3494.70211333   
2.24500    3487.29135647   
2.24750    3479.72622430   
2.25000    3471.98413669   
2.25250    3464.17571758   
2.25500    3456.27710529   
2.25750    3448.34188971   
2.26000    3440.38904841   
2.26250    3432.42957802   
2.26500    3424.55141101   
2.26750    3416.65092804   
2.27000    3408.89565694   
2.27250    3401.20755649   
2.27500    3393.65853847   
2.27750    3386.22912781   
2.28000    3379.02911102   
2.28250    3372.00071113   
2.28500    3365.23221794   
2.28750    3358.66046180   
2.29000    3352.31816487   
2.29250    3346.23550058   
2.29500    3340.45569097   
2.29750    3334.93082860   
2.30000    3329.73154689   
2.30250    3324.76465321   
2.30500    3320.10005570   
2.30750    3315.76663326   
2.31000    3311.67610782   
2.31250    3307.86077547   
2.31500    3304.31892504   
2.31750    3301.03694386   
2.32000    3298.02748724   
2.32250    3295.18450542   
2.32500    3292.62182112   
2.32750    3290.15516354   
2.33000    3287.89684963   
2.33250    3285.80262762   
2.33500    3283.81933772   
2.33750    3281.91186368   
2.34000    3280.09479149   
2.34250    3278.25877865   
2.34500    3276.48652259   
2.34750    3274.63110784   
2.35000    3272.75578705   
2.35250    3270.76208344   
2.35500    3268.64951288   
2.35750    3266.44228524   
2.36000    3264.03787850   
2.36250    3261.43510080   
2.36500    3258.58049498   
2.36750    3255.47981930   
2.37000    3252.11774906   
2.37250    3248.41702448   
2.37500    3244.42416383   
2.37750    3240.03998403   
2.38000    3235.27081861   
2.38250    3230.16083785   
2.38500    3224.67463714   
2.38750    3218.75906219   
2.39000    3212.42122868   
2.39250    3205.63237656   
2.39500    3198.45183853   
2.39750    3190.81137582   
2.40000    3182.70916920   
2.40250    3174.24788865   
2.40500    3165.29026100   
2.40750    3155.93645429   
2.41000    3146.18884846   
2.41250    3135.97997699   
2.41500    3125.42712493   
2.41750    3114.48312328   
2.42000    3103.16766470   
2.42250    3091.55157233   
2.42500    3079.55331604   
2.42750    3067.28180733   
2.43000    3054.75197497   
2.43250    3041.94042927   
2.43500    3028.87259892   
2.43750    3015.66316561   
2.44000    3002.25972747   
2.44250    2988.67254053   
2.44500    2974.96219224   
2.44750    2961.19941688   
2.45000    2947.29349909   
2.45250    2933.35564484   
2.45500    2919.42577951   
2.45750    2905.48851486   
2.46000    2891.56537657   
2.46250    2877.68706916   
2.46500    2863.93050929   
2.46750    2850.26527665   
2.47000    2836.74424317   
2.47250    2823.32666597   
2.47500    2810.11952193   
2.47750    2797.06353697   
2.48000    2784.21210745   
2.48250    2771.57879117   
2.48500    2759.19100351   
2.48750    2747.06638273   
2.49000    2735.23175406   
2.49250    2723.58815152   
2.49500    2712.27756365   
2.49750    2701.26648237   
2.50000    2690.51343575   
